trajectory_mode,statistic,effect_size,cell_id,phase,rejection_rate,monte_carlo_se,available_replicates,completed_replicates
magnitude,angle,1.0,power_primary-b454e41ba106,power_primary,0.01,0.0099498743710662,100,100
magnitude,delta,1.0,power_primary-b454e41ba106,power_primary,1.0,0.0,100,100
magnitude,shape,1.0,power_primary-b454e41ba106,power_primary,0.0,0.0,100,100
none,angle,0.0,power_primary-76efbc65d01b,power_primary,0.04,0.019595917942265423,100,100
none,delta,0.0,power_primary-76efbc65d01b,power_primary,0.08,0.027129319932501072,100,100
none,shape,0.0,power_primary-76efbc65d01b,power_primary,0.03,0.01705872210923198,100,100
orientation,angle,1.0,power_primary-ecebec8fe9ee,power_primary,0.65,0.047696960070847276,100,100
orientation,delta,1.0,power_primary-ecebec8fe9ee,power_primary,0.65,0.047696960070847276,100,100
orientation,shape,1.0,power_primary-ecebec8fe9ee,power_primary,0.99,0.009949874371066205,100,100
shape,angle,1.0,power_primary-2f296d687f03,power_primary,0.83,0.037563279941985904,100,100
shape,delta,1.0,power_primary-2f296d687f03,power_primary,1.0,0.0,100,100
shape,shape,1.0,power_primary-2f296d687f03,power_primary,1.0,0.0,100,100
translation,angle,1.0,power_primary-ebe229f72db1,power_primary,0.05,0.021794494717703367,100,100
translation,delta,1.0,power_primary-ebe229f72db1,power_primary,0.07,0.02551470164434615,100,100
translation,shape,1.0,power_primary-ebe229f72db1,power_primary,0.04,0.019595917942265423,100,100
