trajectory_mode,effect_size,statistic,cell_id,phase,from_shared_anchor,rejection_rate,monte_carlo_se,available_replicates,completed_replicates
magnitude,0.0,angle,power_primary-76efbc65d01b,power_primary,True,0.04,0.019595917942265423,100,100
magnitude,0.25,angle,power_primary-4788df693b86,power_primary,False,0.04,0.019595917942265423,100,100
magnitude,0.5,angle,power_primary-cdd9c329edeb,power_primary,False,0.03,0.01705872210923198,100,100
magnitude,0.75,angle,power_primary-7b3cef20ae15,power_primary,False,0.01,0.0099498743710662,100,100
magnitude,1.0,angle,power_primary-b454e41ba106,power_primary,False,0.01,0.0099498743710662,100,100
magnitude,0.0,delta,power_primary-76efbc65d01b,power_primary,True,0.08,0.027129319932501072,100,100
magnitude,0.25,delta,power_primary-4788df693b86,power_primary,False,1.0,0.0,100,100
magnitude,0.5,delta,power_primary-cdd9c329edeb,power_primary,False,1.0,0.0,100,100
magnitude,0.75,delta,power_primary-7b3cef20ae15,power_primary,False,1.0,0.0,100,100
magnitude,1.0,delta,power_primary-b454e41ba106,power_primary,False,1.0,0.0,100,100
magnitude,0.0,shape,power_primary-76efbc65d01b,power_primary,True,0.03,0.01705872210923198,100,100
magnitude,0.25,shape,power_primary-4788df693b86,power_primary,False,0.04,0.019595917942265423,100,100
magnitude,0.5,shape,power_primary-cdd9c329edeb,power_primary,False,0.01,0.0099498743710662,100,100
magnitude,0.75,shape,power_primary-7b3cef20ae15,power_primary,False,0.0,0.0,100,100
magnitude,1.0,shape,power_primary-b454e41ba106,power_primary,False,0.0,0.0,100,100
orientation,0.0,angle,power_primary-76efbc65d01b,power_primary,True,0.04,0.019595917942265423,100,100
orientation,0.25,angle,power_primary-b5971fca9258,power_primary,False,0.59,0.04918333050943175,100,100
orientation,0.5,angle,power_primary-26e57b9905c7,power_primary,False,0.59,0.04918333050943175,100,100
orientation,0.75,angle,power_primary-ea21ea382a34,power_primary,False,0.64,0.048,100,100
orientation,1.0,angle,power_primary-ecebec8fe9ee,power_primary,False,0.65,0.047696960070847276,100,100
orientation,0.0,delta,power_primary-76efbc65d01b,power_primary,True,0.08,0.027129319932501072,100,100
orientation,0.25,delta,power_primary-b5971fca9258,power_primary,False,0.6,0.04898979485566356,100,100
orientation,0.5,delta,power_primary-26e57b9905c7,power_primary,False,0.69,0.04624932431938871,100,100
orientation,0.75,delta,power_primary-ea21ea382a34,power_primary,False,0.67,0.04702127178203499,100,100
orientation,1.0,delta,power_primary-ecebec8fe9ee,power_primary,False,0.65,0.047696960070847276,100,100
orientation,0.0,shape,power_primary-76efbc65d01b,power_primary,True,0.03,0.01705872210923198,100,100
orientation,0.25,shape,power_primary-b5971fca9258,power_primary,False,0.97,0.017058722109231986,100,100
orientation,0.5,shape,power_primary-26e57b9905c7,power_primary,False,1.0,0.0,100,100
orientation,0.75,shape,power_primary-ea21ea382a34,power_primary,False,0.99,0.009949874371066205,100,100
orientation,1.0,shape,power_primary-ecebec8fe9ee,power_primary,False,0.99,0.009949874371066205,100,100
shape,0.0,angle,power_primary-76efbc65d01b,power_primary,True,0.04,0.019595917942265423,100,100
shape,0.25,angle,power_primary-4d6db70004dd,power_primary,False,0.51,0.04998999899979995,100,100
shape,0.5,angle,power_primary-5f8932f663b2,power_primary,False,0.69,0.04624932431938871,100,100
shape,0.75,angle,power_primary-08397bda5e63,power_primary,False,0.77,0.042083250825001625,100,100
shape,1.0,angle,power_primary-2f296d687f03,power_primary,False,0.83,0.037563279941985904,100,100
shape,0.0,delta,power_primary-76efbc65d01b,power_primary,True,0.08,0.027129319932501072,100,100
shape,0.25,delta,power_primary-4d6db70004dd,power_primary,False,0.8,0.04,100,100
shape,0.5,delta,power_primary-5f8932f663b2,power_primary,False,0.97,0.017058722109231986,100,100
shape,0.75,delta,power_primary-08397bda5e63,power_primary,False,1.0,0.0,100,100
shape,1.0,delta,power_primary-2f296d687f03,power_primary,False,1.0,0.0,100,100
shape,0.0,shape,power_primary-76efbc65d01b,power_primary,True,0.03,0.01705872210923198,100,100
shape,0.25,shape,power_primary-4d6db70004dd,power_primary,False,0.94,0.023748684174075843,100,100
shape,0.5,shape,power_primary-5f8932f663b2,power_primary,False,1.0,0.0,100,100
shape,0.75,shape,power_primary-08397bda5e63,power_primary,False,1.0,0.0,100,100
shape,1.0,shape,power_primary-2f296d687f03,power_primary,False,1.0,0.0,100,100
translation,0.0,angle,power_primary-76efbc65d01b,power_primary,True,0.04,0.019595917942265423,100,100
translation,0.25,angle,power_primary-60645449887c,power_primary,False,0.03,0.01705872210923198,100,100
translation,0.5,angle,power_primary-b2ece987408c,power_primary,False,0.07,0.02551470164434615,100,100
translation,0.75,angle,power_primary-356f35b04b73,power_primary,False,0.05,0.021794494717703367,100,100
translation,1.0,angle,power_primary-ebe229f72db1,power_primary,False,0.05,0.021794494717703367,100,100
translation,0.0,delta,power_primary-76efbc65d01b,power_primary,True,0.08,0.027129319932501072,100,100
translation,0.25,delta,power_primary-60645449887c,power_primary,False,0.03,0.01705872210923198,100,100
translation,0.5,delta,power_primary-b2ece987408c,power_primary,False,0.08,0.027129319932501072,100,100
translation,0.75,delta,power_primary-356f35b04b73,power_primary,False,0.07,0.02551470164434615,100,100
translation,1.0,delta,power_primary-ebe229f72db1,power_primary,False,0.07,0.02551470164434615,100,100
translation,0.0,shape,power_primary-76efbc65d01b,power_primary,True,0.03,0.01705872210923198,100,100
translation,0.25,shape,power_primary-60645449887c,power_primary,False,0.06,0.023748684174075833,100,100
translation,0.5,shape,power_primary-b2ece987408c,power_primary,False,0.07,0.02551470164434615,100,100
translation,0.75,shape,power_primary-356f35b04b73,power_primary,False,0.04,0.019595917942265423,100,100
translation,1.0,shape,power_primary-ebe229f72db1,power_primary,False,0.04,0.019595917942265423,100,100
